CZAS,Liczba Wątków,Proces_Czas Procesora,Czas Procesora,Wykorzystanie procesora
12/01/2022 12:45:10.088,2753,1199.4223079788935,6.589493030439552,5.503376592588796
12/01/2022 12:45:11.089,2761,1186.3717604558065,20.12804822613694,25.656677265119576
12/01/2022 12:45:12.090,2804,1195.423994355651,13.7765280502526,15.785151598936864
12/01/2022 12:45:13.088,2816,1192.8727300852995,16.770250182418735,20.73610621397937
12/01/2022 12:45:14.077,2845,1178.5462272719415,22.58878668052932,31.468548925960256
12/01/2022 12:45:15.089,2848,1205.049788949434,8.076330201934212,11.591147942397244
12/01/2022 12:45:16.088,2847,1195.5492187453115,8.575647978299706,10.543761471853852
12/01/2022 12:45:17.088,2837,1190.6266668773335,7.812370937319313,6.672783833780333
12/01/2022 12:45:18.094,2836,1182.9449004473363,6.73233373608384,8.249186204393618
12/01/2022 12:45:19.103,2823,1199.4735317205805,5.589825245218815,8.070957597890038
12/01/2022 12:45:20.088,2824,1198.3553599619513,3.9728486388105217,6.984146022366216
12/01/2022 12:45:21.088,2853,1191.3247426213936,12.172984324752012,13.81064103957895
12/01/2022 12:45:22.088,2853,1195.1867663521798,6.3900577659230295,6.510126140770796
12/01/2022 12:45:23.089,2856,1197.9342478224896,6.419523158321193,6.426032058744515
12/01/2022 12:45:24.088,2860,1197.7667373359463,5.658923068224297,6.370725459115872
12/01/2022 12:45:25.084,2883,1183.0911433834665,14.354032486766455,15.58545768938414
12/01/2022 12:45:26.081,2886,1195.4036138827903,22.317051796152366,30.93419302672932
12/01/2022 12:45:27.095,2890,1196.2476596709444,20.22445848458261,30.098823313979732
12/01/2022 12:45:28.084,2862,1185.0427206952777,17.442028847744595,25.04925074666468
12/01/2022 12:45:29.086,2871,1195.7244013333743,22.181769564857333,30.999353564890114
12/01/2022 12:45:30.083,2870,1192.404571533093,16.0407289551154,21.717116940725596
12/01/2022 12:45:31.095,2864,1177.0484523314285,23.40946585701881,29.43905405362661
12/01/2022 12:45:32.103,2854,384.19081086965525,8.470668741858878,15.557321031407348
12/01/2022 12:45:33.083,2888,1178.0829311208356,11.657066518279867,14.02984095271673
12/01/2022 12:45:34.078,2896,1198.18995238547,18.602641794332882,22.38395299361767
12/01/2022 12:45:35.086,2897,1201.5023424055576,11.37305963728037,11.50890674118058
12/01/2022 12:45:36.078,2895,1195.4719868309703,19.934346379550103,25.725437020937665
12/01/2022 12:45:37.093,2898,1192.6855938206438,9.971474530957847,12.28907273647514
12/01/2022 12:45:38.089,2898,1194.9565034576547,5.916150822315991,8.130960151509793
12/01/2022 12:45:39.087,2898,1179.9016959737971,10.2815719911042,9.584883206908925
12/01/2022 12:45:40.084,2903,1199.4144975817296,8.933342029741718,9.835453568692577
12/01/2022 12:45:41.088,2902,1204.8235381200438,18.40719314645065,27.633505291047463
12/01/2022 12:45:42.089,2902,1196.7934648173805,15.61071556003518,21.315666027037
12/01/2022 12:45:43.093,2897,1191.820964019977,14.036417169351644,19.635090844488065
12/01/2022 12:45:44.087,2893,1190.559949817442,13.761723036487636,17.016837565405606
12/01/2022 12:45:45.086,2874,1188.7807924257595,14.751903701047508,17.93824876673714
12/01/2022 12:45:46.093,2873,1202.951810593774,5.308881812390509,8.275653636021548
12/01/2022 12:45:47.093,2873,1194.858589799616,5.641624299024639,7.26653230583045
12/01/2022 12:45:48.091,2873,1199.134769473072,4.507544467549096,6.752746319002668
12/01/2022 12:45:49.093,2873,1195.4900193572746,5.44146407033459,6.394929867045094
12/01/2022 12:45:50.093,2873,1198.5631094138666,4.9379574979457885,6.321005017728454
12/01/2022 12:45:51.088,2868,1206.548299586345,3.9055465729151857,6.652365921464149
12/01/2022 12:45:52.081,2871,1182.3418700764266,8.41567799407199,8.067129640808691
12/01/2022 12:45:53.093,2894,1199.0017581074023,9.61133653442905,12.599907588941688
12/01/2022 12:45:54.097,2895,1193.275271846465,18.451745902053126,24.433040884896815
12/01/2022 12:45:55.101,2898,1199.9883456384798,22.309446208646943,28.54466464264939
12/01/2022 12:45:56.088,2897,1199.640545910769,24.69274768354791,42.19793199572137
12/01/2022 12:45:57.093,2895,1185.048753092324,28.20242349623845,40.47434274330322
12/01/2022 12:45:58.088,2893,1197.6154525154357,28.059363452977937,40.70418761492073
12/01/2022 12:45:59.099,2907,1169.1929317301194,32.08061507318084,49.583687276113366
12/01/2022 12:46:00.083,2922,1181.3851504612128,41.380634267140806,58.27287936629748
12/01/2022 12:46:01.092,2941,1190.8617733630913,41.540925703902445,62.02879647572622
12/01/2022 12:46:02.089,2939,1179.6664383325403,45.951537685959295,62.45770248808893
12/01/2022 12:46:03.079,2952,1177.8271717162631,38.556157940649335,62.15085730915676
12/01/2022 12:46:04.088,2951,1196.3595111280688,38.608542699033606,59.25851483956033
12/01/2022 12:46:05.088,2962,1187.3794809826802,36.59497560997559,57.60563894075464
12/01/2022 12:46:06.079,2958,1179.6110326610196,39.15330623651143,61.13560589058724
12/01/2022 12:46:09.082,2994,1173.1709775116549,48.63455445500825,71.0218124228012
12/01/2022 12:46:10.091,2989,1196.2172066659718,51.31974615700656,68.71105681124007
12/01/2022 12:46:11.086,3001,1190.5458371832883,47.77618351439178,74.85675897769066
12/01/2022 12:46:12.079,3013,1181.65294207981,47.02754903466349,73.40200550765319
12/01/2022 12:46:13.089,3013,1186.3273517604937,49.21631493550686,69.16416392793505
12/01/2022 12:46:14.101,3019,1189.056675938632,49.8125428986941,69.75694865027697
12/01/2022 12:46:15.080,3018,1180.8858773504608,40.29079461542594,66.77335817115218
